steps,rewards,times
0,-50.0,2023-05-07 14:20:09.151281
50000,-50.0,2023-05-07 14:20:12.428280
100000,-50.0,2023-05-07 14:20:15.507280
150000,-50.0,2023-05-07 14:20:18.485780
200000,-50.0,2023-05-07 14:20:21.231279
250000,-50.0,2023-05-07 14:20:24.108281
300000,-50.0,2023-05-07 14:20:26.779780
350000,-45.0,2023-05-07 14:20:29.411280
400000,-50.0,2023-05-07 14:20:32.155779
450000,-50.0,2023-05-07 14:20:34.687780
500000,-50.0,2023-05-07 14:20:37.296781
550000,-50.0,2023-05-07 14:20:40.340280
600000,-45.0,2023-05-07 14:20:43.163280
650000,-50.0,2023-05-07 14:20:45.816781
700000,-50.0,2023-05-07 14:20:48.497780
750000,-50.0,2023-05-07 14:20:51.199780
800000,-50.0,2023-05-07 14:20:53.976780
850000,-50.0,2023-05-07 14:20:56.607279
900000,-50.0,2023-05-07 14:20:59.225280
950000,-50.0,2023-05-07 14:21:01.919279
1000000,-50.0,2023-05-07 14:21:04.624284
1050000,-45.0,2023-05-07 14:21:07.301780
1100000,-50.0,2023-05-07 14:21:09.906779
1150000,-50.0,2023-05-07 14:21:12.823780
1200000,-45.0,2023-05-07 14:21:15.542780
1250000,-45.0,2023-05-07 14:21:18.106280
1300000,-50.0,2023-05-07 14:21:20.655780
1350000,-50.0,2023-05-07 14:21:23.164279
1400000,-50.0,2023-05-07 14:21:25.805780
1450000,-50.0,2023-05-07 14:21:28.498780
1500000,-50.0,2023-05-07 14:21:31.174779
1550000,-50.0,2023-05-07 14:21:34.011279
1600000,-50.0,2023-05-07 14:21:36.811283
1650000,-50.0,2023-05-07 14:21:39.414783
1700000,-50.0,2023-05-07 14:21:42.100780
1750000,-50.0,2023-05-07 14:21:44.769781
1800000,-45.0,2023-05-07 14:21:47.337780
1850000,-50.0,2023-05-07 14:21:49.924283
1900000,-50.0,2023-05-07 14:21:52.527280
1950000,-45.0,2023-05-07 14:21:55.239779
2000000,-50.0,2023-05-07 14:21:57.856280
2050000,-50.0,2023-05-07 14:22:00.532780
2100000,-50.0,2023-05-07 14:22:03.242279
2150000,-50.0,2023-05-07 14:22:05.845279
2200000,-45.0,2023-05-07 14:22:08.483280
2250000,-50.0,2023-05-07 14:22:11.135781
2300000,-50.0,2023-05-07 14:22:13.894280
2350000,-50.0,2023-05-07 14:22:16.502280
2400000,-50.0,2023-05-07 14:22:19.016280
2450000,-50.0,2023-05-07 14:22:21.607780
2500000,-50.0,2023-05-07 14:22:24.306281
2550000,-50.0,2023-05-07 14:22:26.783280
2600000,-50.0,2023-05-07 14:22:29.418281
2650000,-50.0,2023-05-07 14:22:32.026781
2700000,-50.0,2023-05-07 14:22:34.729280
2750000,-50.0,2023-05-07 14:22:37.518281
2800000,-50.0,2023-05-07 14:22:40.148281
2850000,-50.0,2023-05-07 14:22:42.693781
2900000,-45.0,2023-05-07 14:22:45.373780
2950000,-50.0,2023-05-07 14:22:48.039781
3000000,-45.0,2023-05-07 14:22:50.632281
3050000,-45.0,2023-05-07 14:22:53.296780
3100000,-45.0,2023-05-07 14:22:55.984781
3150000,-50.0,2023-05-07 14:22:58.750781
3200000,-50.0,2023-05-07 14:23:01.337281
3250000,-50.0,2023-05-07 14:23:03.927283
3300000,-50.0,2023-05-07 14:23:06.552280
3350000,-50.0,2023-05-07 14:23:09.319281
3400000,-50.0,2023-05-07 14:23:11.939780
3450000,-50.0,2023-05-07 14:23:14.571281
3500000,-50.0,2023-05-07 14:23:17.261281
3550000,-45.0,2023-05-07 14:23:19.898282
3600000,-45.0,2023-05-07 14:23:22.488780
3650000,-50.0,2023-05-07 14:23:25.179281
3700000,-50.0,2023-05-07 14:23:27.698780
3750000,-45.0,2023-05-07 14:23:30.295780
3800000,-50.0,2023-05-07 14:23:32.841279
3850000,-45.0,2023-05-07 14:23:35.369783
3900000,-45.0,2023-05-07 14:23:38.051280
3950000,-45.0,2023-05-07 14:23:40.597780
4000000,-50.0,2023-05-07 14:23:43.220279
4050000,-50.0,2023-05-07 14:23:45.892786
4100000,-50.0,2023-05-07 14:23:48.584280
4150000,-50.0,2023-05-07 14:23:51.331779
4200000,-50.0,2023-05-07 14:23:53.988780
4250000,-50.0,2023-05-07 14:23:56.667782
4300000,-45.0,2023-05-07 14:23:59.540780
4350000,-50.0,2023-05-07 14:24:02.196780
4400000,-50.0,2023-05-07 14:24:04.744280
4450000,-50.0,2023-05-07 14:24:07.309780
4500000,-50.0,2023-05-07 14:24:10.100780
4550000,-50.0,2023-05-07 14:24:12.631283
4600000,-50.0,2023-05-07 14:24:15.255780
4650000,-50.0,2023-05-07 14:24:18.069280
4700000,-50.0,2023-05-07 14:24:20.628279
4750000,-50.0,2023-05-07 14:24:23.193281
4800000,-45.0,2023-05-07 14:24:26.028280
4850000,-45.0,2023-05-07 14:24:28.731280
4900000,-45.0,2023-05-07 14:24:31.261781
4950000,-50.0,2023-05-07 14:24:33.927781
5000000,-50.0,2023-05-07 14:24:36.601279
5050000,-50.0,2023-05-07 14:24:39.266280
5100000,-50.0,2023-05-07 14:24:42.003279
5150000,-50.0,2023-05-07 14:24:44.646280
5200000,-50.0,2023-05-07 14:24:47.461781
5250000,-50.0,2023-05-07 14:24:50.223780
5300000,-50.0,2023-05-07 14:24:52.894779
5350000,-50.0,2023-05-07 14:24:55.489780
5400000,-50.0,2023-05-07 14:24:58.201281
5450000,-50.0,2023-05-07 14:25:00.769781
5500000,-45.0,2023-05-07 14:25:03.528279
5550000,-50.0,2023-05-07 14:25:06.204280
5600000,-50.0,2023-05-07 14:25:08.870783
5650000,-50.0,2023-05-07 14:25:11.499780
5700000,-45.0,2023-05-07 14:25:14.112782
5750000,-50.0,2023-05-07 14:25:16.633779
5800000,-45.0,2023-05-07 14:25:19.209780
5850000,-50.0,2023-05-07 14:25:21.943780
5900000,-45.0,2023-05-07 14:25:24.460279
5950000,-45.0,2023-05-07 14:25:27.064280
6000000,-50.0,2023-05-07 14:25:29.899280
6050000,-50.0,2023-05-07 14:25:32.555780
6100000,-45.0,2023-05-07 14:25:35.132279
6150000,-45.0,2023-05-07 14:25:37.777280
6200000,-45.0,2023-05-07 14:25:40.315280
6250000,-50.0,2023-05-07 14:25:42.965779
6300000,-50.0,2023-05-07 14:25:45.656281
6350000,-50.0,2023-05-07 14:25:48.276281
6400000,-50.0,2023-05-07 14:25:50.824780
6450000,-50.0,2023-05-07 14:25:53.515781
