steps,rewards
0,-50.0
50000,-50.0
100000,-50.0
150000,-50.0
200000,-50.0
250000,-50.0
300000,-50.0
350000,-50.0
400000,-50.0
450000,-48.7
500000,-50.0
550000,-45.1
600000,-50.0
650000,-50.0
700000,-46.2
750000,-50.0
800000,-49.4
850000,-49.3
900000,-50.0
950000,-50.0
1000000,-50.0
1050000,-47.6
1100000,-50.0
1150000,-50.0
1200000,-50.0
1250000,-50.0
1300000,-48.3
1350000,-48.8
1400000,-50.0
1450000,-48.7
1500000,-50.0
1550000,-48.8
1600000,-50.0
1650000,-50.0
1700000,-50.0
1750000,-50.0
1800000,-50.0
1850000,-48.3
1900000,-49.9
1950000,-50.0
2000000,-50.0
2050000,-50.0
2100000,-44.3
2150000,-50.0
2200000,-49.6
2250000,-50.0
2300000,-49.7
2350000,-49.8
2400000,-50.0
2450000,-50.0
2500000,-50.0
2550000,-50.0
2600000,-49.5
2650000,-49.4
2700000,-49.8
2750000,-50.0
2800000,-45.0
2850000,-50.0
2900000,-50.0
2950000,-50.0
3000000,-50.0
3050000,-50.0
3100000,-48.3
3150000,-50.0
3200000,-50.0
3250000,-49.9
3300000,-50.0
3350000,-50.0
3400000,-50.0
3450000,-50.0
3500000,-50.0
3550000,-50.0
3600000,-50.0
3650000,-50.0
3700000,-50.0
3750000,-50.0
3800000,-50.0
3850000,-48.7
3900000,-45.2
3950000,-50.0
4000000,-45.0
4050000,-46.1
4100000,-50.0
4150000,-50.0
4200000,-45.3
4250000,-45.4
4300000,-50.0
4350000,-40.5
4400000,-50.0
4450000,-50.0
4500000,-50.0
4550000,-48.2
4600000,-50.0
4650000,-50.0
4700000,-50.0
4750000,-50.0
4800000,-46.6
4850000,-50.0
4900000,-50.0
4950000,-47.3
5000000,-42.7
5050000,-49.4
5100000,-50.0
5150000,-49.5
5200000,-49.3
5250000,-49.5
5300000,-48.6
5350000,-49.2
5400000,-48.9
5450000,-50.0
5500000,-49.1
5550000,-50.0
5600000,-49.4
5650000,-50.0
5700000,-49.6
5750000,-49.6
5800000,-50.0
5850000,-50.0
5900000,-50.0
5950000,-47.3
6000000,-49.5
6050000,-48.3
6100000,-49.7
6150000,-50.0
6200000,-50.0
6250000,-50.0
6300000,-50.0
6350000,-50.0
6400000,-50.0
6450000,-50.0
6500000,-50.0
6550000,-50.0
6600000,-49.7
6650000,-50.0
6700000,-49.5
6750000,-50.0
6800000,-49.7
6850000,-49.9
6900000,-50.0
6950000,-50.0
7000000,-49.9
7050000,-50.0
7100000,-50.0
7150000,-49.8
7200000,-50.0
7250000,-50.0
7300000,-50.0
7350000,-49.7
7400000,-49.7
7450000,-50.0
7500000,-50.0
7550000,-49.8
7600000,-50.0
7650000,-50.0
7700000,-50.0
7750000,-50.0
7800000,-49.9
7850000,-50.0
7900000,-50.0
7950000,-50.0
8000000,-49.9
