steps,rewards,times
0,-50.0,2023-05-08 12:07:24.177785
50000,-50.0,2023-05-08 12:07:27.670785
100000,-50.0,2023-05-08 12:07:30.804287
150000,-50.0,2023-05-08 12:07:33.984786
200000,-50.0,2023-05-08 12:07:37.130284
250000,-50.0,2023-05-08 12:07:40.266786
300000,-50.0,2023-05-08 12:07:43.264784
350000,-50.0,2023-05-08 12:07:46.145784
400000,-45.0,2023-05-08 12:07:48.973783
450000,-50.0,2023-05-08 12:07:51.951784
500000,-50.0,2023-05-08 12:07:54.874284
550000,-50.0,2023-05-08 12:07:57.933785
600000,-50.0,2023-05-08 12:08:00.770784
650000,-50.0,2023-05-08 12:08:03.735284
700000,-50.0,2023-05-08 12:08:06.839285
750000,-50.0,2023-05-08 12:08:09.851784
800000,-50.0,2023-05-08 12:08:12.732287
850000,-50.0,2023-05-08 12:08:15.720284
900000,-50.0,2023-05-08 12:08:18.599785
950000,-50.0,2023-05-08 12:08:21.517285
1000000,-50.0,2023-05-08 12:08:24.332284
1050000,-50.0,2023-05-08 12:08:27.384284
1100000,-50.0,2023-05-08 12:08:30.656284
1150000,-50.0,2023-05-08 12:08:33.676284
1200000,-50.0,2023-05-08 12:08:36.639784
1250000,-50.0,2023-05-08 12:08:39.801783
1300000,-50.0,2023-05-08 12:08:42.621784
1350000,-50.0,2023-05-08 12:08:45.686285
1400000,-50.0,2023-05-08 12:08:48.836285
1450000,-50.0,2023-05-08 12:08:51.750284
1500000,-50.0,2023-05-08 12:08:54.732786
1550000,-50.0,2023-05-08 12:08:57.624785
1600000,-50.0,2023-05-08 12:09:00.879285
1650000,-50.0,2023-05-08 12:09:03.871287
1700000,-50.0,2023-05-08 12:09:06.857785
1750000,-50.0,2023-05-08 12:09:10.019784
1800000,-45.0,2023-05-08 12:09:12.880785
1850000,-50.0,2023-05-08 12:09:15.720285
1900000,-50.0,2023-05-08 12:09:18.762785
1950000,-50.0,2023-05-08 12:09:21.938284
2000000,-50.0,2023-05-08 12:09:24.921784
2050000,-50.0,2023-05-08 12:09:27.888284
2100000,-50.0,2023-05-08 12:09:31.018787
2150000,-50.0,2023-05-08 12:09:34.200785
2200000,-50.0,2023-05-08 12:09:37.124784
2250000,-50.0,2023-05-08 12:09:40.169285
2300000,-50.0,2023-05-08 12:09:43.092288
2350000,-50.0,2023-05-08 12:09:46.122284
2400000,-50.0,2023-05-08 12:09:49.058785
2450000,-50.0,2023-05-08 12:09:51.950784
2500000,-50.0,2023-05-08 12:09:55.246787
2550000,-50.0,2023-05-08 12:09:58.153287
2600000,-50.0,2023-05-08 12:10:01.408786
2650000,-50.0,2023-05-08 12:10:04.664284
2700000,-45.0,2023-05-08 12:10:07.620284
2750000,-50.0,2023-05-08 12:10:10.712284
2800000,-50.0,2023-05-08 12:10:13.802284
2850000,-50.0,2023-05-08 12:10:16.939785
2900000,-50.0,2023-05-08 12:10:20.152285
2950000,-50.0,2023-05-08 12:10:23.271284
3000000,-50.0,2023-05-08 12:10:26.527286
3050000,-50.0,2023-05-08 12:10:29.538784
3100000,-50.0,2023-05-08 12:10:32.593784
3150000,-50.0,2023-05-08 12:10:35.489284
3200000,-50.0,2023-05-08 12:10:38.546284
