steps,rewards,times
0,-50.0,2023-04-29 12:00:40
45000,-50.0,2023-04-29 13:20:00
90000,-50.0,2023-04-29 14:00:00
135000,-50.0,2023-04-29 14:40:00
180000,-46.3,2023-04-29 15:20:00
225000,-45.0,2023-04-29 16:00:00
45000,-50.0,2023-04-29 16:40:00
90000,-50.0,2023-04-29 17:20:00
135000,-50.0,2023-04-29 18:00:00
180000,-49.5,2023-04-29 18:40:00
45000,-45.0,2023-04-29 19:20:00
90000,-50.0,2023-04-29 20:00:00
135000,-50.0,2023-04-29 20:40:00
180000,-45.0,2023-04-29 21:20:00
225000,-45.0,2023-04-29 22:00:00
270000,-45.0,2023-04-29 22:40:00
315000,-50.0,2023-04-29 23:20:00
360000,-45.3,2023-04-30 00:00:00
405000,-50.0,2023-04-30 00:40:00
450000,-45.6,2023-04-30 01:20:00
495000,-50.0,2023-04-30 02:00:00
540000,-50.0,2023-04-30 02:40:00
585000,-50.0,2023-04-30 03:20:00
630000,-50.0,2023-04-30 04:00:00
675000,-48.7,2023-04-30 04:40:00
720000,-40.0,2023-04-30 05:20:00
765000,-50.0,2023-04-30 06:00:00
810000,-50.0,2023-04-30 06:40:00
855000,-50.0,2023-04-30 07:20:00
900000,-45.7,2023-04-30 08:00:00
945000,-50.0,2023-04-30 08:40:00
990000,-50.0,2023-04-30 09:20:00
1035000,-45.0,2023-04-30 10:00:00
1080000,-50.0,2023-04-30 10:40:00
1125000,-49.9,2023-04-30 11:20:00
45000,-45.0,2023-04-30 12:00:00
90000,-45.0,2023-04-30 12:40:00
135000,-50.0,2023-04-30 13:20:00
180000,-45.4,2023-04-30 14:00:00
225000,-45.3,2023-04-30 14:40:00
270000,-50.0,2023-04-30 15:20:00
315000,-50.0,2023-04-30 16:00:00
360000,-50.0,2023-04-30 16:40:00
405000,-45.3,2023-04-30 17:20:00
450000,-50.0,2023-04-30 18:00:00
495000,-45.2,2023-04-30 18:40:00
540000,-50.0,2023-04-30 19:20:00
585000,-41.4,2023-04-30 20:00:00
630000,-45.0,2023-04-30 20:40:00
675000,-49.1,2023-04-30 21:20:00
720000,-42.0,2023-04-30 22:00:00
765000,-45.5,2023-04-30 22:40:00
810000,-40.5,2023-04-30 23:20:00
855000,-47.1,2023-05-01 00:00:00
900000,-29.7,2023-05-01 00:40:00
945000,-23.3,2023-05-01 01:20:00
990000,-36.2,2023-05-01 02:00:00
1035000,-45.0,2023-05-01 02:40:00
1080000,-40.0,2023-05-01 03:20:00
1125000,-49.7,2023-05-01 04:00:00
1170000,-46.3,2023-05-01 04:40:00
1215000,-37.1,2023-05-01 05:20:00
1260000,-41.5,2023-05-01 06:00:00
1305000,-36.3,2023-05-01 06:40:00
1350000,-40.7,2023-05-01 07:20:00
1395000,-40.0,2023-05-01 08:00:00
1440000,-45.7,2023-05-01 08:40:00
1485000,-45.0,2023-05-01 09:20:00
1530000,-45.0,2023-05-01 10:00:00
1575000,-50.0,2023-05-01 10:40:00
1620000,-45.0,2023-05-01 11:20:00
1665000,-46.2,2023-05-01 12:00:00
1710000,-45.0,2023-05-01 12:40:00
1755000,-50.0,2023-05-01 13:20:00
1890000,-45.0,2023-05-01 14:00:00
1800000,-45.6,2023-05-01 14:40:00
1845000,-45.0,2023-05-01 15:20:00
1935000,-50.0,2023-05-01 16:00:00
1980000,-50.0,2023-05-01 16:40:00
2025000,-40.0,2023-05-01 17:20:00
2070000,-45.0,2023-05-01 18:00:00
2115000,-45.0,2023-05-01 18:40:00
2160000,-40.0,2023-05-01 19:20:00
2205000,-45.0,2023-05-01 20:00:00
2250000,-44.0,2023-05-01 20:40:22
