steps,rewards,times
0,-50.0,2023-05-14 20:58:16.408700
45000,-45.0,2023-05-14 22:18:30.589632
90000,-50.0,2023-05-14 23:46:13.682305
135000,-50.0,2023-05-15 01:14:46.406236
180000,-40.0,2023-05-15 02:43:37.937432
225000,-50.0,2023-05-15 04:13:04.776636
270000,-50.0,2023-05-15 05:42:34.480490
315000,-47.0,2023-05-15 07:12:02.581980
360000,-50.0,2023-05-15 08:42:40.932403
405000,-50.0,2023-05-15 10:13:10.674625
450000,-40.0,2023-05-15 11:44:04.950623
495000,-45.0,2023-05-15 13:15:18.637520
540000,-50.0,2023-05-15 14:47:23.234503
585000,-45.0,2023-05-15 16:20:39.458445
630000,-45.0,2023-05-15 17:53:53.123455
675000,-45.0,2023-05-15 19:27:28.506029
