steps,rewards
0,-40.0
20000,-50.0
40000,-50.0
60000,-50.0
80000,-50.0
100000,-45.0
120000,-50.0
140000,-42.0
160000,-47.4
180000,-41.1
200000,-33.3
220000,-47.3
240000,-40.5
260000,-46.9
280000,-44.6
300000,-35.3
320000,-31.7
340000,-31.0
360000,-39.2
380000,-43.6
400000,-49.9
420000,-36.2
440000,-32.6
460000,-41.2
480000,-34.1
500000,-26.8
520000,-28.4
540000,-37.2
560000,-31.5
580000,-29.4
600000,-39.5
620000,-46.2
640000,-45.4
660000,-34.2
680000,-23.0
700000,-29.7
720000,-34.3
740000,-36.3
760000,-36.1
780000,-38.7
800000,-34.2
820000,-35.0
840000,-33.0
860000,-33.8
880000,-32.7
900000,-38.0
920000,-49.6
940000,-27.2
960000,-29.8
980000,-44.9
1000000,-36.4
1020000,-38.5
1040000,-33.8
1060000,-35.6
1080000,-36.9
1100000,-25.7
1120000,-30.5
1140000,-31.9
1160000,-40.4
1180000,-30.2
1200000,-30.9
1220000,-24.8
1240000,-38.1
1260000,-18.9
1280000,-31.1
1300000,-32.9
1320000,-32.7
1340000,-34.7
1360000,-35.1
1380000,-39.5
