steps,rewards,times
0,-45.5,2023-05-03 23:48:51.268040
45000,-50.0,2023-05-04 01:01:58.908039
90000,-45.0,2023-05-04 02:21:34.088040
135000,-45.0,2023-05-04 03:41:46.214855
180000,-50.0,2023-05-04 05:01:50.781857
225000,-50.0,2023-05-04 06:22:04.136355
270000,-40.0,2023-05-04 07:42:37.819855
315000,-40.6,2023-05-04 09:04:00.468354
360000,-50.0,2023-05-04 10:25:30.814855
405000,-41.9,2023-05-04 11:47:32.588354
450000,-41.3,2023-05-04 13:10:32.885355
495000,-27.4,2023-05-04 14:33:49.645854
540000,-41.5,2023-05-04 15:57:00.789355
585000,-32.1,2023-05-04 17:20:55.181856
630000,-38.2,2023-05-04 18:46:55.936855
675000,-45.7,2023-05-04 20:13:47.567855
720000,-36.6,2023-05-04 21:39:35.157856
765000,-39.5,2023-05-05 00:25:00
810000,-38.3,2023-05-05 01:40:00
855000,-44.9,2023-05-05 03:15:00
900000,-26.8,2023-05-05 04:40:00
945000,-26.9,2023-05-05 06:15:00
990000,-49.5,2023-05-05 07:40:00
1035000,-40.7,2023-05-05 09:15:00
1080000,-32.6,2023-05-05 10:20:00
1125000,-44.6,2023-05-05 11:28:50.728540
1170000,-50.0,2023-05-05 12:59:34.393040
1215000,-49.8,2023-05-05 14:31:08.869040
1260000,-32.8,2023-05-05 15:59:10.625540
1305000,-29.0,2023-05-05 17:34:05.984039
1350000,-33.1,2023-05-05 20:49:30.558542
1395000,-35.4,2023-05-05 22:13:56.726540
1440000,-37.1,2023-05-05 23:47:14.417040
1485000,-33.1,2023-05-06 01:19:46.912040
1530000,-31.1,2023-05-06 02:49:33.810039
1575000,-36.5,2023-05-06 04:19:12.888781
1620000,-32.9,2023-05-06 05:49:20.472779
1665000,-36.4,2023-05-06 07:19:58.866279
1710000,-50.0,2023-05-06 08:50:35.468281
1755000,-26.2,2023-05-06 10:21:28.264280
1800000,-36.6,2023-05-06 11:52:57.045280
