steps,rewards,times
0,-45.0,2023-05-08 12:05:23.005786
45000,-50.0,2023-05-08 12:50:22.024285
90000,-50.0,2023-05-08 13:40:12.629784
135000,-50.0,2023-05-08 14:28:18.525284
180000,-50.0,2023-05-08 15:17:59.797785
225000,-49.9,2023-05-08 16:08:47.395284
270000,-50.0,2023-05-08 16:59:54.111783
315000,-50.0,2023-05-08 17:51:24.193784
360000,-45.0,2023-05-08 18:43:40.523285
0,-36.5,2023-05-08 20:22:49.160784
45000,-50.0,2023-05-08 21:09:57.515287
0,-50.0,2023-05-08 21:10:45.030285
45000,-40.0,2023-05-08 21:57:57.196284
90000,-40.0,2023-05-08 22:49:45.879786
135000,-50.0,2023-05-08 23:43:58.717785
180000,-50.0,2023-05-09 00:38:15.574287
225000,-48.4,2023-05-09 01:32:02.363784
270000,-45.0,2023-05-09 02:23:59.185286
315000,-50.0,2023-05-09 03:15:43.819285
360000,-35.0,2023-05-09 04:07:48.342284
405000,-45.0,2023-05-09 04:59:47.944050
450000,-45.0,2023-05-09 05:51:53.604546
495000,-37.1,2023-05-09 06:45:23.549051
540000,-40.0,2023-05-09 07:39:58.935046
585000,-50.0,2023-05-09 08:34:37.530050
630000,-46.0,2023-05-09 09:28:48.342049
675000,-40.8,2023-05-09 10:23:18.687549
720000,-45.5,2023-05-09 11:18:10.004548
765000,-45.3,2023-05-09 12:14:00.135050
810000,-49.0,2023-05-09 13:10:00.323546
855000,-36.9,2023-05-09 14:04:42.766047
900000,-45.7,2023-05-09 14:59:58.478547
945000,-50.0,2023-05-09 15:55:39.263547
990000,-46.0,2023-05-09 16:51:50.117547
1035000,-41.4,2023-05-09 17:49:42.401547
1080000,-45.0,2023-05-09 18:48:36.168047
1125000,-50.0,2023-05-09 19:47:40.556047
1170000,-49.7,2023-05-09 20:47:15.508547
1215000,-37.2,2023-05-09 21:46:32.648548
1260000,-41.2,2023-05-09 22:45:45.252547
1305000,-32.1,2023-05-09 23:49:39.107548
1350000,-45.7,2023-05-10 00:49:41.381047
1395000,-44.4,2023-05-10 01:51:11.853047
