steps,rewards
0,-50.0
80000,-45.0
160000,-50.0
240000,-50.0
320000,-50.0
400000,-45.0
480000,-50.0
560000,-45.0
640000,-45.0
720000,-40.0
800000,-45.7
880000,-50.0
960000,-50.0
1040000,-50.0
1120000,-46.4
1200000,-45.5
1280000,-45.0
1360000,-49.6
1440000,-28.5
1520000,-43.5
1600000,-35.0
1680000,-40.5
1760000,-29.1
1840000,-41.5
1920000,-32.2
2000000,-36.6
2080000,-35.2
2160000,-26.8
2240000,-34.9
2320000,-28.1
2400000,-41.6
2480000,-30.6
2560000,-22.9
2640000,-26.7
2720000,-17.9
2800000,-29.8
2880000,-17.7
2960000,-20.4
3040000,-21.4
3120000,-28.3
3200000,-21.6
3280000,-27.8
3360000,-22.0
3440000,-20.9
3520000,-17.3
3600000,-8.2
3680000,-18.4
3760000,-16.8
3840000,-25.8
3920000,-11.3
