steps,rewards
0,-45.0
45000,-50.0
90000,-40.0
135000,-45.0
180000,-40.0
225000,-40.0
270000,-50.0
315000,-50.0
360000,-35.0
405000,-45.3
450000,-40.0
495000,-40.0
540000,-40.2
585000,-50.0
630000,-50.0
675000,-36.8
720000,-45.0
765000,-46.9
810000,-45.1
855000,-33.5
900000,-30.7
945000,-35.9
990000,-29.8
1035000,-35.2
1080000,-21.4
1125000,-20.1
1170000,-11.8
1215000,-15.9
1260000,-17.8
1305000,-15.1
1350000,-12.5
1395000,-11.6
1440000,-18.2
1485000,-15.9
1530000,-18.6
1575000,-13.1
1620000,-17.2
1665000,-10.2
1710000,-9.0
1755000,-12.5
1800000,-15.0
1845000,-11.6
1890000,-11.8
1935000,-13.0
1980000,-11.0
2025000,-8.0
2070000,-10.8
2115000,-7.9
2160000,-8.1
2205000,-11.2
