steps,rewards
0,-7.4
7500,-2.0
15000,-1.8
22500,-1.9
30000,-1.8
37500,-1.6
45000,-2.2
52500,-2.2
60000,-1.7
67500,-2.0
75000,-1.8
82500,-1.9
90000,-1.7
97500,-2.1
105000,-1.5
112500,-1.2
120000,-1.7
127500,-1.9
135000,-2.2
142500,-2.4
150000,-2.2
157500,-1.9
165000,-1.5
172500,-1.7
180000,-2.0
187500,-2.7
195000,-1.7
202500,-1.8
210000,-1.9
217500,-1.9
225000,-1.7
232500,-1.5
240000,-1.5
247500,-2.0
255000,-1.5
262500,-2.0
270000,-1.5
277500,-2.0
285000,-2.0
292500,-1.3
300000,-1.9
307500,-1.9
315000,-1.7
322500,-2.0
330000,-2.0
337500,-1.9
345000,-2.2
352500,-1.2
360000,-1.6
367500,-1.8
