steps,rewards
0,-50.0
45000,-50.0
90000,-50.0
135000,-50.0
180000,-46.3
225000,-45.0
0,-45.0
45000,-50.0
90000,-50.0
135000,-50.0
180000,-49.5
0,-40.0
45000,-45.0
90000,-50.0
135000,-50.0
180000,-45.0
225000,-45.0
270000,-45.0
315000,-50.0
360000,-45.3
405000,-50.0
450000,-45.6
495000,-50.0
540000,-50.0
585000,-50.0
630000,-50.0
675000,-48.7
720000,-40.0
765000,-50.0
810000,-50.0
855000,-50.0
900000,-45.7
945000,-50.0
990000,-50.0
1035000,-45.0
1080000,-50.0
1125000,-49.9
0,-45.0
45000,-45.0
90000,-45.0
135000,-50.0
180000,-45.4
225000,-45.3
270000,-50.0
315000,-50.0
360000,-50.0
405000,-45.3
450000,-50.0
495000,-45.2
540000,-50.0
585000,-41.4
630000,-45.0
675000,-49.1
720000,-42.0
765000,-45.5
810000,-40.5
855000,-47.1
900000,-29.7
945000,-23.3
990000,-36.2
1035000,-45.0
1080000,-40.0
1125000,-49.7
1170000,-46.3
1215000,-37.1
1260000,-41.5
1305000,-36.3
1350000,-40.7
1395000,-40.0
1440000,-45.7
1485000,-45.0
1530000,-45.0
1575000,-50.0
1620000,-45.0
1665000,-46.2
1710000,-45.0
1755000,-50.0
1800000,-45.6
1845000,-45.0
1890000,-45.0
1935000,-50.0
1980000,-50.0
2025000,-40.0
2070000,-45.0
2115000,-45.0
2160000,-40.0
2205000,-45.0
2250000,-44.0
